r0 c0,c1,c2,c3,c4,c5,c6,c7
r1,Exp,time (h), Xpro (cell/L), Xsyn (cell/L),Xeu (cell/L),Xcro (cell/L),r1
r2,Cont,0,3609,35,410,126,r2
r3,Cont,24,7366 ,303 ,416 ,116 ,r3
r4,Cont,48,8837 ,470 ,439 ,216 ,r4
r5,Cont,72,4444 ,703 ,478 ,288 ,r5
r6,,,,,,,r6
r7,NH4,0,3609,35,410,126,r7
r8,NH4,24,22528 ,702 ,313 ,169 ,r8
r9,NH4,48,42776 ,1017 ,646 ,258 ,r9
r10,NH4,72,20311 ,933 ,976 ,297 ,r10
r11,,,,,,,r11
r12,NO3,0,3609,35,410,126,r12
r13,NO3,24,13456 ,697 ,336 ,123 ,r13
r14,NO3,48,23485 ,1231 ,380 ,208 ,r14
r15,NO3,72,24004 ,3195 ,589 ,308 ,r15
